"type","date","metrics","value"
"CO","20181227","22",0.3
"NO2","20181227","22",2.375
"O3","20181227","22",50.1666666666667
"SO2","20181227","22",1.5
"CO","20181227","23",0.304166666666667
"NO2","20181227","23",8.125
"O3","20181227","23",56.3333333333333
"SO2","20181227","23",5.58333333333333
"CO","20181227","24",0.279166666666667
"NO2","20181227","24",2.70833333333333
"O3","20181227","24",58.7916666666667
"SO2","20181227","24",2.58333333333333
"CO","20181227","25",0.3625
"NO2","20181227","25",14.4583333333333
"O3","20181227","25",48.9583333333333
"SO2","20181227","25",4.54166666666667
"CO","20181227","26",0.3125
"NO2","20181227","26",1.45833333333333
"O3","20181227","26",69.8333333333333
"SO2","20181227","26",1.08333333333333
"CO","20181227","27",0.225
"NO2","20181227","27",3.79166666666667
"O3","20181227","27",49.1666666666667
"SO2","20181227","27",2.73913043478261
"CO","20181227","28",0.9
"NO2","20181227","28",18.5833333333333
"O3","20181227","28",52.1818181818182
"SO2","20181227","28",2.29166666666667
"CO","20181227","29",0.745833333333333
"NO2","20181227","29",12.5833333333333
"O3","20181227","29",49.4285714285714
"SO2","20181227","29",2.625
"CO","20181227","30",0.470833333333333
"NO2","20181227","30",17.875
"O3","20181227","30",36.0833333333333
"SO2","20181227","30",1.45833333333333
"CO","20181227","31",0.35
"NO2","20181227","31",17.9583333333333
"O3","20181227","31",86.375
"SO2","20181227","31",2.54166666666667
"CO","20181227","32",0.216666666666667
"NO2","20181227","32",4.52173913043478
"O3","20181227","32",54.2916666666667
"SO2","20181227","32",3.375
"CO","20181227","33",0.308333333333333
"NO2","20181227","33",22.875
"O3","20181227","33",46.25
"SO2","20181227","33",3.08333333333333
"CO","20181227","34",0.340909090909091
"NO2","20181227","34",22.6818181818182
"O3","20181227","34",42.2727272727273
"SO2","20181227","34",4.90909090909091
"CO","20181227","35",0.3375
"NO2","20181227","35",19
"O3","20181227","35",44.9583333333333
"SO2","20181227","35",8.625
"CO","20181226","1",0.391666666666667
"NO2","20181226","1",28.1666666666667
"O3","20181226","1",29.625
"SO2","20181226","1",2.79166666666667
"CO","20181226","2",0.515
"NO2","20181226","2",38.95
"O3","20181226","2",43.0526315789474
"SO2","20181226","2",6.2
"CO","20181226","3",0.370833333333333
"NO2","20181226","3",26.875
"O3","20181226","3",40.9583333333333
"SO2","20181226","3",4.125
"CO","20181226","4",0.4
"NO2","20181226","4",30.4347826086957
"O3","20181226","4",34.0869565217391
"SO2","20181226","4",3.69565217391304
"CO","20181226","5",0.333333333333333
